title,company,location,requirements,link
University Internship: Medical Technology/Clinical Laboratory Science Lab...,Labcorp,"Raritan, NJ","Exciting Opportunity to be part of the LabCorp/Covance 2021 Global Internship 12 Week Program as a Medical Technology/Clinical Laboratory Science Lab Assistant Intern in Rarit an, N J!
• Fulfill lab assistant or specimen processor duties while supporting the work of technicians, technologists and scientists in an area of testing in a medical diagnostic laboratory
• Learn standard operating procedures for analyzing and storing specimens
• Learns how to use laboratory equipment and software appropriate for assigned tasks
• Prepare specimens for testing in laboratory departments through plating, aliquoting, distributing and sorting
• Complete meaningful independent projects in assigned area of laboratory
• Work under direct supervision and performs general duties as assigned by the designated department
• Perform all paperwork, technical, and non-technical procedures required to process and submit specimens
• Support the lab by performing data entry, loading instruments, performing maintenance on all types of equipment, gathering supplies for testing
• Perform a variety of administrative duties for a designated department including clerical and customer service functions
• Contributes to a cohesive team environment
• Plans individual workload in coordination with team members.

Requirements
• High school diploma or equivalent
• Pursuing a Bachelor's degree in a Life Science concentration
• Previous medical/lab or production experience is a plus
• Comfortability with handling biological specimens
• Ability to accurately identify specimens
• Basic computer knowledge and data entry skills
• High level of attention to detail with the ability to prioritize and multitask
• Ability to work in a fast paced production environment
• Strong communication skills; both written and verbal
• Ability to sit and/or stand for extended periods of time
• Must pass a standardized color blindness test

Shift
1

Schedule
Monday - Friday (8:00am - 4:30pm",https://www.themuse.com/jobs/labcorp/university-internship-medical-technologyclinical-laboratory-science-lab-assistant?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Laboratory Assistant Software,Labcorp,"Raritan, NJ",,https://www.themuse.com/jobs/labcorp/university-internship-medical-technologyclinical-laboratory-science-lab-assistant?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Medical Lab Technician,Labcorp,"Raritan, NJ",,https://www.themuse.com/jobs/labcorp/university-internship-medical-technologyclinical-laboratory-science-lab-assistant?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Lab Technician Internship,Dexai Robotics,"Somerville, MA (+1 other)","Dexai is a Red Dot Award Winning Robotics Company focused on creating a more food secure future with less reliance on physical labor. Currently we will be moving spaces and are looking for our next batch of designers to integrate us into our new space. This opportunity is unique in that we will be developing a vision for the future kitchen environment, while building out the space to reflect that future.

Dexai Robotics is looking for talented artists, engineers, designers, machinists, makers, hobbiest and more, who are motivated by having a fast track for entering the robotics industry. At Dexai we believe in the future of flexible automation and the impact it can bring to a food service space. The industry is severely lacking in talent and in dire need for innovation outside its traditional hiring pool. We look forward to candidates that share this attitude and wish to grow within the robotics / automation space.

We are looking for hires with all kinds of backgrounds. If you feel you have something unique to contribute to food assembly and general robotics, Dexai would love to offer you this opportunity to prove your capabilities. This opportunity strongly feeds into our hardware track upon completion and will be a recurring seasonal opportunity during summer and winter breaks",https://jobs.lever.co/dexairobotics/d1bdd2ce-9998-4eac-94ec-4bb27c41d634?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
